imp_bin,count,mean,std,min,max,state,predictor
95-100,0,,,,,Maryland,mean
0-5,16564,1.1124125,1.3980736,0.28,38.22,Rhode Island,mean
5-10,2007,2.8158844,3.6175349,0.33,82.95,Rhode Island,mean
10-15,1193,4.2783823,4.255018,0.52,33.68,Rhode Island,mean
15-20,849,5.3728623,4.6026917,0.0,33.27,Rhode Island,mean
20-25,703,7.466842,6.3919334,0.75,77.15,Rhode Island,mean
25-30,529,9.155954,6.997956,0.0,53.75,Rhode Island,mean
30-35,433,11.616813,8.739981,0.6,76.07,Rhode Island,mean
35-40,357,14.323361,10.196411,1.24,70.71,Rhode Island,mean
40-45,348,16.285086,9.422709,1.03,56.5,Rhode Island,mean
45-50,275,19.805128,10.672574,1.88,58.18,Rhode Island,mean
50-55,215,21.168884,9.785627,1.15,60.37,Rhode Island,mean
55-60,196,27.732908,14.589894,1.96,82.8,Rhode Island,mean
60-65,153,32.076275,16.041187,6.95,113.32,Rhode Island,mean
65-70,166,37.183372,19.670416,3.91,164.79,Rhode Island,mean
70-75,153,42.165165,18.08156,5.56,147.63,Rhode Island,mean
75-80,90,52.17889,22.690006,14.28,121.39,Rhode Island,mean
80-85,60,59.8515,30.391426,17.9,158.84,Rhode Island,mean
85-90,18,88.274445,45.64342,29.47,189.53,Rhode Island,mean
90-95,0,,,,,Rhode Island,mean
95-100,0,,,,,Rhode Island,mean
0-5,1357972,0.3685741,0.31475094,-0.36,45.65,Idaho,mean
5-10,27588,0.92608017,1.6857437,-0.08,55.87,Idaho,mean
10-15,6240,2.0379727,3.8399608,0.09,107.79,Idaho,mean
15-20,2576,3.6365876,4.859084,0.22,60.08,Idaho,mean
20-25,1718,5.304424,6.310806,0.27,56.77,Idaho,mean
25-30,1319,6.9763002,6.5913897,0.23,66.12,Idaho,mean
30-35,1138,9.60601,9.619933,0.36,113.33,Idaho,mean
35-40,1158,11.828126,9.97271,0.56,161.6,Idaho,mean
40-45,1204,14.128057,9.999746,0.44,76.13,Idaho,mean
45-50,1160,16.531818,10.608306,0.53,162.48,Idaho,mean
50-55,918,19.87904,13.187461,0.43,124.25,Idaho,mean
55-60,576,24.711908,15.31001,0.48,112.84,Idaho,mean
60-65,326,33.853867,22.169876,2.51,146.04,Idaho,mean
65-70,275,36.027744,20.805763,0.54,164.65,Idaho,mean
70-75,122,43.415,26.684483,4.44,175.23,Idaho,mean
75-80,102,52.620686,30.534065,5.65,162.65,Idaho,mean
80-85,40,53.090504,28.12309,12.99,134.98,Idaho,mean
85-90,13,49.727688,32.952717,16.65,145.43,Idaho,mean
90-95,2,33.82,1.65463,32.65,34.99,Idaho,mean
95-100,0,,,,,Idaho,mean
0-5,136553,0.6413004,1.0636781,0.19,196.41,New Hampshire,mean
5-10,8257,1.9074277,4.8466096,0.31,297.95,New Hampshire,mean
10-15,3213,2.9727294,3.0518765,0.36,41.62,New Hampshire,mean
15-20,1761,4.5998635,4.9816694,0.43,101.86,New Hampshire,mean
20-25,1120,6.0256605,5.135655,0.35,52.16,New Hampshire,mean
25-30,854,7.689005,5.885137,0.52,49.96,New Hampshire,mean
30-35,628,9.884697,7.2899837,0.7,62.19,New Hampshire,mean
35-40,468,12.621603,7.686733,0.7,42.59,New Hampshire,mean
40-45,322,13.878944,9.917139,0.64,78.99,New Hampshire,mean
45-50,275,17.5896,9.9805765,2.51,79.27,New Hampshire,mean
50-55,198,20.924343,12.078872,1.83,76.97,New Hampshire,mean
55-60,151,21.705364,11.1217165,1.89,63.97,New Hampshire,mean
60-65,116,27.559568,14.951138,5.63,89.9,New Hampshire,mean
65-70,72,32.04361,16.435995,5.31,86.88,New Hampshire,mean
70-75,69,39.968697,17.742674,9.84,89.76,New Hampshire,mean
75-80,50,44.679398,18.076534,13.41,83.76,New Hampshire,mean
80-85,22,68.733185,25.307302,25.7,119.56,New Hampshire,mean
85-90,4,66.8475,3.0400906,62.33,68.89,New Hampshire,mean
90-95,0,,,,,New Hampshire,mean
95-100,0,,,,,New Hampshire,mean
0-5,677464,0.95739174,1.1116157,-0.02,174.43,North Carolina,mean
5-10,46111,2.9911327,3.2720597,0.0,88.4,North Carolina,mean
10-15,19661,5.306059,4.986572,0.0,73.88,North Carolina,mean
15-20,12933,7.8345017,6.7019486,0.0,119.57,North Carolina,mean
20-25,9731,10.51347,7.992388,0.0,135.33,North Carolina,mean
25-30,7452,13.353748,9.160449,0.0,148.14,North Carolina,mean
30-35,5688,16.422855,11.255752,0.59,165.85,North Carolina,mean
35-40,4409,19.889482,12.563572,0.56,135.93,North Carolina,mean
40-45,3297,23.91279,14.630904,0.0,169.34,North Carolina,mean
45-50,2448,27.997635,16.642935,0.9,181.57,North Carolina,mean
50-55,1693,32.73014,18.63668,1.39,186.12,North Carolina,mean
55-60,1360,37.662056,21.268496,0.8,243.84,North Carolina,mean
60-65,928,43.778133,23.365229,0.97,209.13,North Carolina,mean
65-70,685,50.864216,24.581873,1.6,164.21,North Carolina,mean
70-75,452,54.490818,26.147348,0.92,192.75,North Carolina,mean
75-80,262,64.46511,30.517982,4.39,186.56,North Carolina,mean
80-85,118,76.87644,48.29692,0.76,272.06,North Carolina,mean
85-90,34,94.009415,67.4692,17.35,300.71,North Carolina,mean
90-95,1,33.26,,33.26,33.26,North Carolina,mean
95-100,0,,,,,North Carolina,mean
0-5,149716,0.5138773,0.33966923,0.19,38.42,Vermont,mean
5-10,5409,1.0952579,1.5506536,0.31,52.87,Vermont,mean
10-15,1724,1.7964734,1.730092,0.38,16.97,Vermont,mean
15-20,875,2.8658516,2.7062075,0.38,27.76,Vermont,mean
20-25,539,3.858182,3.480747,0.52,26.6,Vermont,mean
25-30,415,5.406506,4.2373433,0.51,24.36,Vermont,mean
30-35,287,6.5583625,4.833652,0.55,31.38,Vermont,mean
35-40,220,8.358455,5.0863147,0.57,26.5,Vermont,mean
40-45,146,10.093835,6.224762,1.25,34.19,Vermont,mean
45-50,118,10.82517,6.056489,1.64,32.24,Vermont,mean
50-55,88,14.409091,7.2331676,2.56,37.36,Vermont,mean
55-60,64,15.640469,7.4698005,5.36,38.11,Vermont,mean
60-65,44,19.507954,9.314315,7.22,46.62,Vermont,mean
65-70,30,22.852,10.975227,8.14,50.31,Vermont,mean
70-75,18,26.84278,9.050205,12.22,44.7,Vermont,mean
75-80,11,27.574547,14.853694,9.47,50.23,Vermont,mean
80-85,5,34.856,10.3399315,27.41,50.32,Vermont,mean
85-90,0,,,,,Vermont,mean
90-95,0,,,,,Vermont,mean
95-100,0,,,,,Vermont,mean
0-5,62892,1.2430917,1.2861621,0.0,50.2,Connecticut,mean
5-10,8283,3.1577966,2.9512746,0.0,62.62,Connecticut,mean
10-15,4394,4.8691373,3.8703618,0.0,45.09,Connecticut,mean
15-20,2969,6.845301,5.213842,0.0,60.47,Connecticut,mean
20-25,2328,8.681817,5.7635922,0.0,54.03,Connecticut,mean
25-30,1820,10.653445,6.785235,0.0,66.0,Connecticut,mean
30-35,1347,13.331982,7.6137805,0.0,60.19,Connecticut,mean
35-40,1016,15.960768,8.809764,0.0,64.77,Connecticut,mean
40-45,812,18.887192,9.600442,0.0,73.3,Connecticut,mean
45-50,649,21.638721,10.694655,0.0,95.92,Connecticut,mean
50-55,545,26.351633,12.112667,2.48,100.27,Connecticut,mean
55-60,413,29.79,12.347892,6.28,83.24,Connecticut,mean
60-65,324,33.86574,15.795919,6.56,114.12,Connecticut,mean
65-70,266,39.591766,17.242346,10.79,115.04,Connecticut,mean
70-75,187,46.7392,17.552206,17.33,113.15,Connecticut,mean
75-80,126,56.96,20.36878,23.12,116.62,Connecticut,mean
80-85,76,68.22066,26.910326,0.0,130.08,Connecticut,mean
85-90,12,79.4425,23.230213,39.9,118.68,Connecticut,mean
90-95,0,,,,,Connecticut,mean
95-100,0,,,,,Connecticut,mean
0-5,27553,1.3295357,1.5822686,0.34,41.37,Delaware,mean
5-10,3239,3.1571996,3.7800412,0.58,51.23,Delaware,mean
10-15,1648,5.6140046,5.543429,0.62,52.8,Delaware,mean
15-20,1134,7.65433,6.3957114,0.84,44.62,Delaware,mean
20-25,808,9.626795,7.2666154,0.75,54.56,Delaware,mean
25-30,775,12.345033,9.391423,0.72,88.27,Delaware,mean
30-35,661,14.823025,10.214068,1.81,75.57,Delaware,mean
35-40,533,17.564335,11.582206,1.91,97.73,Delaware,mean
40-45,418,21.903755,13.473923,2.86,117.1,Delaware,mean
45-50,349,24.890259,13.847295,3.31,102.87,Delaware,mean
50-55,241,30.679255,16.51989,4.68,157.99,Delaware,mean
55-60,188,37.69314,19.991188,6.08,120.5,Delaware,mean
60-65,135,44.791187,19.129614,7.11,103.24,Delaware,mean
65-70,102,47.575294,19.992249,13.47,109.86,Delaware,mean
70-75,90,55.862225,24.970238,9.16,120.62,Delaware,mean
75-80,43,62.253254,26.012352,7.87,117.34,Delaware,mean
80-85,25,66.6196,30.145134,12.17,147.35,Delaware,mean
85-90,15,81.17533,42.890682,12.48,134.03,Delaware,mean
90-95,0,,,,,Delaware,mean
95-100,0,,,,,Delaware,mean
0-5,1750098,0.4542774,3.9257407,-0.04,1512.17,New Mexico,mean
5-10,12476,3.216191,13.083414,-0.04,991.32,New Mexico,mean
10-15,3743,6.382781,19.168724,0.21,694.3,New Mexico,mean
15-20,2101,8.790024,16.161283,0.26,532.46,New Mexico,mean
20-25,1491,12.085036,40.943615,0.3,1516.73,New Mexico,mean
25-30,1162,14.695886,20.293716,0.35,519.83,New Mexico,mean
30-35,975,18.621979,14.692076,0.38,117.84,New Mexico,mean
35-40,896,20.569307,14.57622,0.59,159.63,New Mexico,mean
40-45,786,24.993843,15.552916,2.24,141.64,New Mexico,mean
45-50,753,27.093693,16.40288,4.25,147.33,New Mexico,mean
50-55,668,32.283684,18.310116,2.73,160.86,New Mexico,mean
55-60,523,39.616177,23.499752,8.39,193.73,New Mexico,mean
60-65,380,46.844814,25.141323,10.5,162.94,New Mexico,mean
65-70,207,59.151306,24.649237,12.75,155.6,New Mexico,mean
70-75,121,66.39422,22.95093,8.43,123.81,New Mexico,mean
75-80,65,75.315544,22.69256,16.16,131.95,New Mexico,mean
80-85,23,100.55956,38.096355,48.47,199.69,New Mexico,mean
85-90,2,95.134995,11.320781,87.13,103.14,New Mexico,mean
90-95,0,,,,,New Mexico,mean
95-100,0,,,,,New Mexico,mean
0-5,2296049,0.4946065,2.1008003,-0.06,2278.82,California,mean
5-10,47055,2.5910316,21.468433,0.12,3003.88,California,mean
10-15,19004,4.6780076,19.114481,0.0,2486.06,California,mean
15-20,12394,6.89703,27.650846,0.21,2936.57,California,mean
20-25,9539,8.738875,10.959431,0.23,504.11,California,mean
25-30,8474,10.823802,10.632113,0.26,172.56,California,mean
30-35,8155,13.09805,13.515844,0.26,570.76,California,mean
35-40,8080,15.159711,12.882668,0.0,211.75,California,mean
40-45,8783,17.204739,13.245691,0.4,252.34,California,mean
45-50,9920,19.323381,13.203822,0.32,213.32,California,mean
50-55,11094,22.440933,14.515084,0.35,317.31,California,mean
55-60,10996,25.529045,14.812258,0.32,234.88,California,mean
60-65,8564,30.56193,16.915861,0.97,361.96,California,mean
65-70,5957,37.35392,18.6855,0.98,218.55,California,mean
70-75,4500,44.56093,21.246738,1.47,212.69,California,mean
75-80,3254,51.237682,23.46898,1.86,293.26,California,mean
80-85,2175,58.660366,26.944483,1.65,284.21,California,mean
85-90,1070,67.968544,32.898983,16.95,319.32,California,mean
90-95,196,85.16153,41.726795,18.75,282.62,California,mean
95-100,1,83.14,,83.14,83.14,California,mean
0-5,82840,1.6618023,2.4190133,0.0,120.43,New Jersey,mean
5-10,11615,4.2322135,4.492316,0.47,75.4,New Jersey,mean
10-15,7367,6.472898,6.0636787,0.57,170.02,New Jersey,mean
15-20,5769,8.707791,6.5527344,0.59,80.73,New Jersey,mean
20-25,4874,10.862801,7.8915396,0.97,144.87,New Jersey,mean
25-30,4205,13.146202,8.732565,0.0,126.71,New Jersey,mean
30-35,3681,15.545483,11.688973,0.95,261.88,New Jersey,mean
35-40,3335,17.837427,10.311765,0.0,93.73,New Jersey,mean
40-45,2638,20.844105,13.594686,0.0,258.07,New Jersey,mean
45-50,2181,24.430967,14.474174,1.13,192.38,New Jersey,mean
50-55,1720,27.949862,15.765343,1.2,194.61,New Jersey,mean
55-60,1479,34.45093,19.041386,1.56,200.91,New Jersey,mean
60-65,1146,39.719727,19.371065,4.08,156.61,New Jersey,mean
65-70,1017,46.64582,22.764448,4.13,196.84,New Jersey,mean
70-75,787,58.00094,31.17558,5.16,231.86,New Jersey,mean
75-80,706,67.818825,35.736565,0.0,347.51,New Jersey,mean
80-85,502,84.81911,50.271812,4.58,370.44,New Jersey,mean
85-90,187,111.93192,66.15204,8.09,457.05,New Jersey,mean
90-95,8,156.86874,97.60064,41.49,309.9,New Jersey,mean
95-100,0,,,,,New Jersey,mean
0-5,1018700,0.57501036,0.8249576,0.0,445.6,Wisconsin,mean
5-10,38219,1.7920547,3.0090961,0.0,250.48,Wisconsin,mean
10-15,12199,3.6378202,5.2544665,0.0,312.16,Wisconsin,mean
15-20,6867,5.6361074,5.8985753,0.36,73.88,Wisconsin,mean
20-25,4969,8.130909,11.406136,0.0,479.02,Wisconsin,mean
25-30,4077,10.076546,7.509579,0.5,87.8,Wisconsin,mean
30-35,3786,12.393296,8.863004,0.0,169.86,Wisconsin,mean
35-40,3466,15.322887,10.816096,0.0,172.34,Wisconsin,mean
40-45,2996,18.059309,11.321111,0.0,142.55,Wisconsin,mean
45-50,2482,21.969242,13.080361,0.0,170.39,Wisconsin,mean
50-55,2056,27.562752,18.8406,0.0,474.13,Wisconsin,mean
55-60,1619,31.963776,16.250717,0.0,155.7,Wisconsin,mean
60-65,1259,37.716015,18.238373,1.96,145.47,Wisconsin,mean
65-70,951,44.690002,25.367413,2.38,521.47,Wisconsin,mean
70-75,696,51.936882,35.452328,11.37,670.9,Wisconsin,mean
75-80,445,59.605885,28.871235,0.0,249.2,Wisconsin,mean
80-85,213,75.68061,53.434727,0.0,629.87,Wisconsin,mean
85-90,103,98.717094,61.378887,16.76,329.89,Wisconsin,mean
90-95,1,263.52,,263.52,263.52,Wisconsin,mean
95-100,0,,,,,Wisconsin,mean
0-5,1583167,0.3950552,0.39490578,-0.38,89.31,Oregon,mean
5-10,29937,0.99933195,1.6503525,0.0,48.75,Oregon,mean
10-15,7657,1.9345789,2.8210397,0.0,58.74,Oregon,mean
15-20,3773,3.0082242,3.9520476,0.0,62.7,Oregon,mean
20-25,2504,4.062156,4.434866,0.0,51.14,Oregon,mean
25-30,1895,5.8470974,5.6216,0.0,46.28,Oregon,mean
30-35,1722,7.0175548,6.003495,0.0,59.08,Oregon,mean
35-40,1707,8.1944,6.4180136,0.0,51.14,Oregon,mean
40-45,1734,9.980115,6.970569,0.29,52.44,Oregon,mean
45-50,1771,11.513913,7.199103,0.36,71.33,Oregon,mean
50-55,1777,13.32457,8.218339,0.0,64.03,Oregon,mean
55-60,1450,15.409102,9.363507,0.39,83.67,Oregon,mean
60-65,1015,18.73937,10.38122,0.41,84.61,Oregon,mean
65-70,725,21.59309,12.401383,0.33,110.89,Oregon,mean
70-75,520,25.097328,13.64448,0.64,115.87,Oregon,mean
75-80,376,27.766464,13.9083395,0.75,90.72,Oregon,mean
80-85,233,32.210815,14.315325,6.46,80.39,Oregon,mean
85-90,94,40.12585,16.288773,4.54,92.54,Oregon,mean
90-95,4,53.26,21.683523,27.08,78.11,Oregon,mean
95-100,0,,,,,Oregon,mean
0-5,1207087,0.4080569,0.46788728,0.07,69.99,Nebraska,mean
5-10,16844,1.5136107,2.892739,0.16,112.53,Nebraska,mean
10-15,4107,3.9107351,5.390423,0.21,85.03,Nebraska,mean
15-20,2262,7.0462775,8.93968,0.31,169.28,Nebraska,mean
20-25,1614,9.41303,10.104975,0.36,187.73,Nebraska,mean
25-30,1369,12.461279,12.743793,0.48,275.23,Nebraska,mean
30-35,1244,15.4628525,12.629588,0.53,140.75,Nebraska,mean
35-40,1407,19.037079,13.360062,1.02,104.07,Nebraska,mean
40-45,1487,23.625278,14.441702,1.14,151.49,Nebraska,mean
45-50,1345,26.854736,15.975877,2.57,138.57,Nebraska,mean
50-55,1001,30.99156,18.349735,1.79,130.48,Nebraska,mean
55-60,675,39.087585,22.02664,1.73,176.82,Nebraska,mean
60-65,442,47.351063,26.828936,4.94,212.65,Nebraska,mean
65-70,313,56.21965,28.073944,3.01,179.8,Nebraska,mean
70-75,238,60.32769,30.541906,5.51,191.8,Nebraska,mean
75-80,162,66.779816,28.675732,19.61,161.33,Nebraska,mean
80-85,88,87.536705,39.153667,24.65,203.0,Nebraska,mean
85-90,38,113.99842,57.092606,28.62,283.0,Nebraska,mean
90-95,0,,,,,Nebraska,mean
95-100,0,,,,,Nebraska,mean
0-5,613111,0.894378,1.1185361,0.0,168.92,Pennsylvania,mean
5-10,45610,2.6026237,3.563011,0.32,237.09,Pennsylvania,mean
10-15,18496,4.725946,4.8990407,0.36,92.57,Pennsylvania,mean
15-20,11769,6.8028874,5.9542933,0.37,90.24,Pennsylvania,mean
20-25,8863,8.773578,7.0348663,0.47,100.24,Pennsylvania,mean
25-30,7086,11.027913,8.235908,0.49,139.18,Pennsylvania,mean
30-35,5666,13.353459,9.026098,0.68,106.27,Pennsylvania,mean
35-40,4540,16.256765,10.468972,0.57,135.83,Pennsylvania,mean
40-45,3747,19.569117,13.2829895,0.91,289.28,Pennsylvania,mean
45-50,3021,22.530928,14.073324,0.98,228.56,Pennsylvania,mean
50-55,2484,25.798515,14.238373,1.76,161.79,Pennsylvania,mean
55-60,1988,31.32753,19.145195,3.64,289.44,Pennsylvania,mean
60-65,1663,34.691174,19.563229,2.24,257.98,Pennsylvania,mean
65-70,1275,40.988102,25.341902,2.89,386.09,Pennsylvania,mean
70-75,1031,47.94549,30.724968,1.83,507.71,Pennsylvania,mean
75-80,767,61.648617,35.46187,5.88,296.79,Pennsylvania,mean
80-85,561,72.878555,42.10189,1.91,319.73,Pennsylvania,mean
85-90,148,86.12054,60.95348,9.04,331.68,Pennsylvania,mean
90-95,4,41.9675,17.837458,27.18,63.11,Pennsylvania,mean
95-100,0,,,,,Pennsylvania,mean
0-5,1161350,0.50882995,0.6749107,-0.11,133.5,Washington,mean
5-10,45579,1.3285688,2.2716358,0.0,105.12,Washington,mean
10-15,14996,2.46053,3.5125868,0.0,96.35,Washington,mean
15-20,7612,3.9528444,4.955449,0.0,138.19,Washington,mean
20-25,5505,5.590387,6.5234613,0.27,134.4,Washington,mean
25-30,4276,7.2528043,7.306316,0.0,106.59,Washington,mean
30-35,3904,8.917086,8.340975,0.0,127.33,Washington,mean
35-40,3571,10.722307,8.727844,0.0,121.67,Washington,mean
40-45,3654,12.833032,9.880841,0.0,155.49,Washington,mean
45-50,3295,14.944058,10.612627,0.49,154.14,Washington,mean
50-55,2924,17.355383,11.682038,0.51,140.82,Washington,mean
55-60,2377,20.90703,13.187631,0.0,134.71,Washington,mean
60-65,1693,24.775925,14.818295,0.27,128.85,Washington,mean
65-70,1211,29.620016,17.218307,0.39,184.62,Washington,mean
70-75,912,33.77818,18.551107,0.69,158.74,Washington,mean
75-80,709,39.47746,22.160969,1.04,205.79,Washington,mean
80-85,566,49.557384,27.19422,1.32,225.74,Washington,mean
85-90,341,69.17593,38.008728,2.93,205.6,Washington,mean
90-95,18,83.80056,48.87167,2.98,216.03,Washington,mean
95-100,0,,,,,Washington,mean
0-5,665367,0.67311215,1.6567738,0.0,688.68,Louisiana,mean
5-10,23935,2.785961,7.7463927,0.22,854.46,Louisiana,mean
10-15,9825,5.3151183,9.020527,0.28,631.5,Louisiana,mean
15-20,5929,8.931125,35.863262,0.29,2219.12,Louisiana,mean
20-25,4086,11.74674,32.353832,0.3,1956.73,Louisiana,mean
25-30,3284,14.83687,27.531673,0.32,1431.79,Louisiana,mean
30-35,2686,19.086927,34.089863,0.46,1628.1,Louisiana,mean
35-40,2275,24.425419,66.66062,0.5,2767.06,Louisiana,mean
40-45,1890,29.748112,80.82568,0.44,2717.05,Louisiana,mean
45-50,1587,32.41233,27.506355,0.68,821.63,Louisiana,mean
50-55,1312,39.668255,51.038296,0.65,1439.12,Louisiana,mean
55-60,1095,47.682896,99.33743,2.87,3210.18,Louisiana,mean
60-65,823,56.26949,61.533974,2.2,1166.94,Louisiana,mean
65-70,555,74.787476,181.57217,4.65,2339.3,Louisiana,mean
70-75,380,79.470764,150.20805,7.64,2250.4,Louisiana,mean
75-80,282,103.81514,162.3511,4.46,1558.85,Louisiana,mean
80-85,166,172.76796,379.84512,4.79,2908.28,Louisiana,mean
85-90,86,179.41652,197.42206,21.61,1662.14,Louisiana,mean
90-95,0,,,,,Louisiana,mean
95-100,0,,,,,Louisiana,mean
0-5,739597,0.7803782,1.4991119,0.0,493.27,Georgia,mean
5-10,39337,3.032356,3.5661495,0.28,88.53,Georgia,mean
10-15,18394,5.64557,5.2598815,0.33,93.46,Georgia,mean
15-20,12903,8.477668,6.8624506,0.35,111.36,Georgia,mean
20-25,9831,11.273697,8.4635315,0.0,148.47,Georgia,mean
25-30,7510,14.104456,9.521393,0.44,126.22,Georgia,mean
30-35,5635,17.490423,11.3361635,0.44,137.92,Georgia,mean
35-40,4124,21.625345,13.189146,0.52,175.15,Georgia,mean
40-45,3008,26.394314,15.363606,0.61,202.5,Georgia,mean
45-50,2293,30.938992,17.012024,0.77,242.01,Georgia,mean
